Week, Day, Breakfast, Lunch, Dinner
23,Saturday,Eggs,Pasta,Burritos
23,Sunday,Eggs,Pasta,Burritos
24,Monday,Yoghurt with granola & fruit: Plain Greek yoghurt with honey bananas or strawberries.,Salmon & Spinach Salad: Pumpkin seeds and a quick vinaigrette (olive oil lemon juice Dijon salt pepper).,Spaghetti a la bolognesa
24,Tuesday,Avocado & Scrambled Eggs Toast: Served with a side of fruit.,Black Bean & Walnut Mash Wraps: Mashed beans walnuts lime cumin and mixed greens in a tortilla.,Chicken Fajitas: Served in flour tortillas with cheese.
24,Wednesday,Banana or strawberry Smoothies: Fruit oats milk and yoghurt/peanut butter.,Leftover Protein Power Bowls: Tuesday's leftover meat sliced cold over a green salad with hemp/chia seeds.,Stovetop Macaroni & Cheese: Homemade cheese sauce. Serve with peas in a separate bowl.
24,Thursday,Pancakes: Served with fruit and honey.,Lentil soup,Albondigas
24,Friday,Breakfast Burritos: Scrambled eggs cheese and quick-cooked protein in a tortilla.,Tuna Salad: Greek yogurt mayo celery tomato onion pepper. Serve over greens or with crackers.,Homemade Flatbread Pizzas: 5-minute dough (Greek yoghurt + self-rising flour). Plain cheese.
24,Saturday,Hot-cakes de mamá,"Avocado & Chia Seed Toast: Mashed avocado, chia seeds, sea salt. Served with an arugula/mixed green salad.",Hamburguesas/Salchichas: Served on buns with roasted potato wedges.
24,Sunday,Sausages & hash browns,Quinoa & Roasted Veggie Bowls: Leftover veggies/proteins from the week drizzled with vinaigrette.,Milanesas con maíz
25,Monday,Yoghurt with granola & fruit: Plain Greek yoghurt with honey bananas or strawberries.,"Salmon & Spinach Salad: Pumpkin seeds and a quick vinaigrette (olive oil, lemon juice, Dijon, salt, pepper).",Chicken Fettuccine Alfredo: Butter garlic heavy cream parmesan. Side salad for adults.
25,Tuesday,Avocado & Scrambled Eggs Toast: Served with a side of fruit.,"Black Bean & Walnut Mash Wraps: Mashed beans, walnuts, lime, cumin, and mixed greens in a tortilla.",Beef Tacos
25,Wednesday,Banana or strawberry Smoothies: Fruit oats milk and yoghurt/peanut butter.,Leftover Protein Power Bowls: Tuesday's leftover meat sliced cold over a green salad with hemp/chia seeds.,Pollo al horno
25,Thursday,Pancakes: Served with fruit and honey.,Lentil soup,Pescado empapelado
25,Friday,Breakfast Burritos: Scrambled eggs cheese and quick-cooked protein in a tortilla.,"Tuna Salad: Greek yogurt, mayo, celery, tomato, onion, pepper. Serve over greens or with crackers.",Tinga de pollo
25,Saturday,Hot-cakes de mamá,Avocado & Chia Seed Toast: Mashed avocado chia seeds sea salt. Served with an arugula/mixed green salad.,Picadillo con arroz
25,Sunday,Sausages & hash browns,Quinoa & Roasted Veggie Bowls: Leftover veggies/proteins from the week drizzled with vinaigrette.,Chuletas con puré de papa y piña
26,Monday,Yoghurt with granola & fruit: Plain Greek yoghurt with honey bananas or strawberries.,Salmon & Spinach Salad: Pumpkin seeds and a quick vinaigrette (olive oil lemon juice Dijon salt pepper).,Spaghetti a la bolognesa
26,Tuesday,Avocado & Scrambled Eggs Toast: Served with a side of fruit.,Black Bean & Walnut Mash Wraps: Mashed beans walnuts lime cumin and mixed greens in a tortilla.,Cuenquitos de nachos
26,Wednesday,Banana or strawberry Smoothies: Fruit oats milk and yoghurt/peanut butter.,Leftover Protein Power Bowls: Tuesday's leftover meat sliced cold over a green salad with hemp/chia seeds.,Sopa de frijol
26,Thursday,Pancakes: Served with fruit and honey.,Lentil soup,Caldo Xochitl
26,Friday,Breakfast Burritos: Scrambled eggs cheese and quick-cooked protein in a tortilla.,Tuna Salad: Greek yogurt mayo celery tomato onion pepper. Serve over greens or with crackers.,Fish with veggies
26,Saturday,Hot-cakes de mamá,"Avocado & Chia Seed Toast: Mashed avocado, chia seeds, sea salt. Served with an arugula/mixed green salad.",Sirloin asado con arroz y ensalada
26,Sunday,Sausages & hash browns,Quinoa & Roasted Veggie Bowls: Leftover veggies/proteins from the week drizzled with vinaigrette.,Salmon con papas
